[54117:0x31507000]       23 ms: Scavenge 4.7 (5.6) -> 3.9 (5.9) MB, pooled: 0.0 MB, 0.21 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       24 ms: Scavenge 4.7 (6.6) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.29 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       24 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       24 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       25 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       25 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       25 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       25 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       25 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       25 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       25 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       25 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       26 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       26 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       26 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54117:0x31507000]       26 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
