[54125:0x34b87000]       26 ms: Scavenge 4.7 (5.9) -> 3.8 (6.1) MB, pooled: 0.0 MB, 3.43 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       27 ms: Scavenge 4.7 (6.9) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.29 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       27 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.05 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       27 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.05 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       27 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       27 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.05 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.28 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       31 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.45 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       31 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.05 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       32 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.58 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       32 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.05 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       32 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       32 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       32 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       32 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.23 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54125:0x34b87000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
1000000
[54125:0x34b87000]       40 ms: Scavenge 4.9 (7.1) -> 4.1 (7.1) MB, pooled: 0.0 MB, 0.22 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
