[54136:0x330c5000]       27 ms: Scavenge 4.7 (5.4) -> 3.9 (5.6) MB, pooled: 0.0 MB, 3.53 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       28 ms: Scavenge 4.7 (6.6) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.19 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.07 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       28 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.06 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.06 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.06 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.13 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.06 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.06 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       29 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.06 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.20 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       30 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       31 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       31 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       31 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       31 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       31 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       31 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       31 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       31 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       31 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       32 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       32 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       32 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.19 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       32 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       32 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.05 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.14 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.04 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       33 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       34 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
[54136:0x330c5000]       35 ms: Scavenge 4.8 (7.1) -> 3.8 (7.1) MB, pooled: 0.0 MB, 0.03 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
1000000
[54136:0x330c5000]       40 ms: Scavenge 4.9 (7.1) -> 4.1 (7.1) MB, pooled: 0.0 MB, 0.19 / 0.00 ms (average mu = 1.000, current mu = 1.000) allocation failure; 
